"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
7	0.874284189702743	10	10	"Churn"	"Yes"	0.1
8	0.856962168907039	10	10	"Churn"	"Yes"	0.1
9	0.908980521123198	10	10	"Churn"	"Yes"	0.1
10	0.843751280265476	10	10	"Churn"	"Yes"	0.1
11	0.864542903904606	10	10	"Churn"	"Yes"	0.1
12	0.877125741182224	10	10	"Churn"	"Yes"	0.1
13	0.866603924849245	10	10	"Churn"	"Yes"	0.1
14	0.894172054597701	10	10	"Churn"	"Yes"	0.1
15	0.868494983277592	10	10	"Churn"	"Yes"	0.1
16	0.904391352953738	10	10	"Churn"	"Yes"	0.1
17	0.813985558712121	10	10	"Churn"	"Yes"	0.1
18	0.839632081280788	10	10	"Churn"	"Yes"	0.1
19	0.795484055415917	10	10	"Churn"	"Yes"	0.1
20	0.91249030078963	10	10	"Churn"	"Yes"	0.1
21	0.904116123756304	10	10	"Churn"	"Yes"	0.1
22	0.864714904366655	10	10	"Churn"	"Yes"	0.1
23	0.851945927862515	10	10	"Churn"	"Yes"	0.1
24	0.883520956111562	10	10	"Churn"	"Yes"	0.1
25	0.879394141541687	10	10	"Churn"	"Yes"	0.1
26	0.915318784766795	10	10	"Churn"	"Yes"	0.1
27	0.889261534210097	10	10	"Churn"	"Yes"	0.1
28	0.878696832579186	10	10	"Churn"	"Yes"	0.1
29	0.912228037766831	10	10	"Churn"	"Yes"	0.1
30	0.909941066450224	10	10	"Churn"	"Yes"	0.1
1	0.856437754376898	11	11	"Churn"	"Yes"	0.1
2	0.889548266436484	11	11	"Churn"	"Yes"	0.1
3	0.827066798941799	11	11	"Churn"	"Yes"	0.1
4	0.87139089314139	11	11	"Churn"	"Yes"	0.1
5	0.864701720754028	11	11	"Churn"	"Yes"	0.1
6	0.88409341581547	11	11	"Churn"	"Yes"	0.1
7	0.916203118927322	11	11	"Churn"	"Yes"	0.1
8	0.833795472180383	11	11	"Churn"	"Yes"	0.1
9	0.848049455888068	11	11	"Churn"	"Yes"	0.1
10	0.841733870967742	11	11	"Churn"	"Yes"	0.1
11	0.875385782949659	11	11	"Churn"	"Yes"	0.1
12	0.858009049773756	11	11	"Churn"	"Yes"	0.1
13	0.857829176929392	11	11	"Churn"	"Yes"	0.1
14	0.849354310062275	11	11	"Churn"	"Yes"	0.1
15	0.855000191065765	11	11	"Churn"	"Yes"	0.1
16	0.866094083171525	11	11	"Churn"	"Yes"	0.1
17	0.87131388457054	11	11	"Churn"	"Yes"	0.1
18	0.852859543557218	11	11	"Churn"	"Yes"	0.1
19	0.845157217970743	11	11	"Churn"	"Yes"	0.1
20	0.858896486993832	11	11	"Churn"	"Yes"	0.1
21	0.898706011228262	11	11	"Churn"	"Yes"	0.1
22	0.818813279962326	11	11	"Churn"	"Yes"	0.1
23	0.86004826546003	11	11	"Churn"	"Yes"	0.1
24	0.884896559520669	11	11	"Churn"	"Yes"	0.1
25	0.861277873070326	11	11	"Churn"	"Yes"	0.1
26	0.888072398190045	11	11	"Churn"	"Yes"	0.1
27	0.888187367695564	11	11	"Churn"	"Yes"	0.1
28	0.881443692919103	11	11	"Churn"	"Yes"	0.1
29	0.890863071686073	11	11	"Churn"	"Yes"	0.1
30	0.85029244642453	11	11	"Churn"	"Yes"	0.1
1	0.901163673159626	12	12	"Churn"	"Yes"	0.1
2	0.890974301397206	12	12	"Churn"	"Yes"	0.1
3	0.861001584332972	12	12	"Churn"	"Yes"	0.1
4	0.859315709587655	12	12	"Churn"	"Yes"	0.1
5	0.83903395194936	12	12	"Churn"	"Yes"	0.1
6	0.809124363438116	12	12	"Churn"	"Yes"	0.1
7	0.843179649844499	12	12	"Churn"	"Yes"	0.1
8	0.884299026497996	12	12	"Churn"	"Yes"	0.1
9	0.816970659183774	12	12	"Churn"	"Yes"	0.1
10	0.850962334568892	12	12	"Churn"	"Yes"	0.1
11	0.899110371348218	12	12	"Churn"	"Yes"	0.1
12	0.856421541659026	12	12	"Churn"	"Yes"	0.1
13	0.838928393213573	12	12	"Churn"	"Yes"	0.1
14	0.926104041916168	12	12	"Churn"	"Yes"	0.1
15	0.814094492654983	12	12	"Churn"	"Yes"	0.1
16	0.82203410415857	12	12	"Churn"	"Yes"	0.1
17	0.883327414772727	12	12	"Churn"	"Yes"	0.1
18	0.886954168170336	12	12	"Churn"	"Yes"	0.1
19	0.856331282560791	12	12	"Churn"	"Yes"	0.1
20	0.860945045540681	12	12	"Churn"	"Yes"	0.1
21	0.828320263091323	12	12	"Churn"	"Yes"	0.1
22	0.872030165912519	12	12	"Churn"	"Yes"	0.1
23	0.830680735434238	12	12	"Churn"	"Yes"	0.1
24	0.857154441117765	12	12	"Churn"	"Yes"	0.1
25	0.852377940804452	12	12	"Churn"	"Yes"	0.1
26	0.874681826991408	12	12	"Churn"	"Yes"	0.1
27	0.876663650075415	12	12	"Churn"	"Yes"	0.1
28	0.897084103037767	12	12	"Churn"	"Yes"	0.1
29	0.849937725335955	12	12	"Churn"	"Yes"	0.1
30	0.876620724859622	12	12	"Churn"	"Yes"	0.1
1	0.851977979320323	13	13	"Churn"	"Yes"	0.1
2	0.871331463098835	13	13	"Churn"	"Yes"	0.1
3	0.810743464052288	13	13	"Churn"	"Yes"	0.1
4	0.848237052668601	13	13	"Churn"	"Yes"	0.1
5	0.839285714285714	13	13	"Churn"	"Yes"	0.1
6	0.865326391965736	13	13	"Churn"	"Yes"	0.1
7	0.833883489210832	13	13	"Churn"	"Yes"	0.1
8	0.779501068791294	13	13	"Churn"	"Yes"	0.1
9	0.817682676518883	13	13	"Churn"	"Yes"	0.1
10	0.858433734939759	13	13	"Churn"	"Yes"	0.1
11	0.816933598316577	13	13	"Churn"	"Yes"	0.1
12	0.846142497947455	13	13	"Churn"	"Yes"	0.1
13	0.845041669358486	13	13	"Churn"	"Yes"	0.1
14	0.843569950561909	13	13	"Churn"	"Yes"	0.1
15	0.878839869281046	13	13	"Churn"	"Yes"	0.1
16	0.824550898203593	13	13	"Churn"	"Yes"	0.1
17	0.899986591579512	13	13	"Churn"	"Yes"	0.1
18	0.844441197100772	13	13	"Churn"	"Yes"	0.1
19	0.840321634788885	13	13	"Churn"	"Yes"	0.1
20	0.827655926501035	13	13	"Churn"	"Yes"	0.1
21	0.835042085574	13	13	"Churn"	"Yes"	0.1
22	0.840424639140651	13	13	"Churn"	"Yes"	0.1
23	0.886775263951735	13	13	"Churn"	"Yes"	0.1
24	0.871596197967879	13	13	"Churn"	"Yes"	0.1
25	0.784040033317716	13	13	"Churn"	"Yes"	0.1
26	0.837839444209637	13	13	"Churn"	"Yes"	0.1
27	0.844167921858597	13	13	"Churn"	"Yes"	0.1
28	0.850917516448387	13	13	"Churn"	"Yes"	0.1
29	0.848958273546462	13	13	"Churn"	"Yes"	0.1
30	0.88108138238573	13	13	"Churn"	"Yes"	0.1
1	0.861342983939138	14	14	"Churn"	"Yes"	0.1
2	0.862805429864253	14	14	"Churn"	"Yes"	0.1
3	0.845857219199378	14	14	"Churn"	"Yes"	0.1
4	0.778883861236802	14	14	"Churn"	"Yes"	0.1
5	0.852001052320037	14	14	"Churn"	"Yes"	0.1
6	0.818600299401198	14	14	"Churn"	"Yes"	0.1
7	0.873665094595327	14	14	"Churn"	"Yes"	0.1
8	0.838756967670011	14	14	"Churn"	"Yes"	0.1
9	0.822071451982956	14	14	"Churn"	"Yes"	0.1
10	0.853026681310162	14	14	"Churn"	"Yes"	0.1
11	0.801371043174322	14	14	"Churn"	"Yes"	0.1
12	0.836787089675408	14	14	"Churn"	"Yes"	0.1
13	0.883225936114356	14	14	"Churn"	"Yes"	0.1
14	0.839568446125823	14	14	"Churn"	"Yes"	0.1
15	0.849562246423233	14	14	"Churn"	"Yes"	0.1
16	0.852966086741716	14	14	"Churn"	"Yes"	0.1
17	0.848187850944359	14	14	"Churn"	"Yes"	0.1
18	0.831598475279682	14	14	"Churn"	"Yes"	0.1
19	0.854546221322537	14	14	"Churn"	"Yes"	0.1
20	0.870549774065453	14	14	"Churn"	"Yes"	0.1
21	0.900845517648796	14	14	"Churn"	"Yes"	0.1
22	0.848594297892376	14	14	"Churn"	"Yes"	0.1
23	0.886630407285606	14	14	"Churn"	"Yes"	0.1
24	0.838500455569942	14	14	"Churn"	"Yes"	0.1
25	0.882606217552381	14	14	"Churn"	"Yes"	0.1
26	0.835457981842569	14	14	"Churn"	"Yes"	0.1
27	0.828863689501987	14	14	"Churn"	"Yes"	0.1
28	0.87239845585767	14	14	"Churn"	"Yes"	0.1
29	0.882085828343313	14	14	"Churn"	"Yes"	0.1
30	0.876322759868209	14	14	"Churn"	"Yes"	0.1
1	0.829392354699989	15	15	"Churn"	"Yes"	0.1
2	0.84596131686223	15	15	"Churn"	"Yes"	0.1
3	0.85224741088632	15	15	"Churn"	"Yes"	0.1
4	0.853466214636427	15	15	"Churn"	"Yes"	0.1
5	0.832942019400353	15	15	"Churn"	"Yes"	0.1
6	0.826455505279035	15	15	"Churn"	"Yes"	0.1
7	0.832518729474548	15	15	"Churn"	"Yes"	0.1
8	0.837970802545156	15	15	"Churn"	"Yes"	0.1
9	0.848136324109259	15	15	"Churn"	"Yes"	0.1
10	0.873572847279458	15	15	"Churn"	"Yes"	0.1
11	0.861944860279441	15	15	"Churn"	"Yes"	0.1
12	0.805626931208327	15	15	"Churn"	"Yes"	0.1
13	0.842436706286962	15	15	"Churn"	"Yes"	0.1
14	0.842402771783436	15	15	"Churn"	"Yes"	0.1
15	0.855146699703384	15	15	"Churn"	"Yes"	0.1
